DOI,Title,Year,Journal,Citations
https://doi.org/10.24843/lkjiti.2017.v08.i01.p02,"Sistem Informasi Pengumuman Program Studi Di Perguruan Tinggi X",2017,"",10
,"IMPLEMENTASI SUPPLY CHAIN MANAGEMENT (SCM) DALAM SISTEM INFORMASI GUDANG UNTUK MENINGKATKAN EFEKTIFITAS DAN EFISIENSI PROSES PERGUDANGAN",2017,"",8
https://doi.org/10.31937/ti.v11i1.1053,"Implementasi Push Notification dan Location Based Service Pada Aplikasi Smart Rekomendasi Wirausaha Untuk Pedagang Makanan Keliling",2019,"",6
https://doi.org/10.34010/icomse.v1i2.3874,"Pelatihan Pembuatan Media Pembelajaran Di PGRI Kecamatan Cisarua",2020,"",6
https://doi.org/10.34010/komputa.v9i1.3722,"PENERAPAN TEKNOLOGI CLOUD COMPUTING PADA KATALOG PRODUK DI BALATKOP JAWA BARAT",2020,"",4
https://doi.org/10.34010/komputa.v6i2.2479,"OPTIMALISASI JARINGAN DAN MONITORING DI SMAN 4 BANDUNG MENGGUNAKAN WEBMIN",2017,"",3
https://doi.org/10.1109/incitest59455.2023.10395920,"Travel Route Recommendation System Based on Weather Prediction and Geolocation Technology",2023,"",2
https://doi.org/10.1109/incitest59455.2023.10396976,"Comparative Analysis of Interactive Map Data Loading Using the GeoJSON Method for West Java New Entrepreneurs",2023,"",1
https://doi.org/10.31937/ijnmt.v7i2.1499,"Recommendation System for Determining Micro, Small and Medium Enterprise Business Locations",2020,"",2
https://doi.org/10.34010/komputa.v8i2.3054,"IMPLEMENTASI IPv6 DENGAN METODE MIGRASI NAT64 DAN VPLS UNTUK MENDUKUNG IPv6 MOBILE DI SEBUAH INSTITUSI PENDIDIKAN",2019,"",1
https://doi.org/10.36909/jer.asseee.16101,"Model Recommendation Creation for New Entrepreneur using TOPSIS Method in Bandung Raya",2021,"",1
https://doi.org/10.36909/jer.asseee.16093,"Mapping application for Greater Bandung Area using Web Technology",2021,"",1
https://doi.org/10.14421/ijid.2022.3562,"Culinary Business Recommendation Application Using Promethee-II Method",2022,"",1
,"PERANCANGAN INTERIOR LOBBY HOTEL CITY DENGANKONSEP JEJARING SOSIAL (TWITTER)",2014,"",0
https://doi.org/10.31598/sintechjournal.v4i1.601,"MODEL REKOMENDASI SISTEM UNTUK MENCIPTAKAN WIRAUSAHAWAN BARU DENGAN MENGGUNAKAN TEKNOLOGI WEB",2021,"",0
https://doi.org/10.34010/icobest.v1i.3,"Dashboard Information System for New Entrepreneur",2023,"",0
https://doi.org/10.1063/5.0176470,"Development of interactive learning media of human and animal organs",2023,"",0
https://doi.org/10.34010/jemba.v4i1.12859,"Model Sistem Simpan Pinjam Pada Koperasi Berbasis Website",2024,"",0
https://doi.org/10.25126/jtiik.1138294,"Aplikasi Pedagang Keliling Menggunakan Teknologi Geolocation dan Cloud Messaging",2024,"",0
https://doi.org/10.1063/5.0255261,"Analysis data loading of new entrepreneur in West Java using client server-side method",2025,"",0
https://doi.org/10.34010/petik.v4i2.14315,"Hasil Pemanfaatan Teknologi Geolokasi Untuk UMKM Penjual Keliling",2024,"",0
https://doi.org/10.1109/incitest64888.2024.11121482,"Implementation of Speech to Text and Geolocation Technology on the Travelling Merchant System",2024,"",0
https://doi.org/10.34010/komputa.v14i2.16365,"Model Sistem Digitalisi Dokumen Akreditasi untuk Mendukung Proses Validasi Oleh Asesor Menggunakan Metode Ekstraksi Transformasi dan Load",2025,"",0
