venue_name,publisher,issn,e_issn,venue_id
Komputika : Jurnal Sistem Komputer,Universitas Komputer Indonesia,2655-3198; 2252-9039,2655-3198,VEN_974cd0a1
Jurnal Agregasi : Aksi Reformasi Government dalam Demokrasi,Universitas Komputer Indonesia,2579-3047; 2337-5299,2579-3047,VEN_e9d6d125
Jurnal Manajemen Informatika (JAMIKA),Universitas Komputer Indonesia,2655-6960; 2088-4125,2655-6960,VEN_e99ec3eb
Jurnal Teknologi dan Informasi,Universitas Komputer Indonesia,2655-6839; 2088-2270,2655-6839,VEN_444398b3
Jurnal Common,Universitas Komputer Indonesia,2580-6386; 2654-9271,2580-6386,VEN_98ee4175
Jurnal Ilmu Keuangan dan Perbankan (JIKA),Universitas Komputer Indonesia,2655-9234; 2089-2845,2655-9234,VEN_f18bd722
Waca Cipta Ruang,Universitas Komputer Indonesia,2656-1824; 2301-6507,2656-1824,VEN_c8ef1a6b
Visualita Jurnal Online Desain Komunikasi Visual,Universitas Komputer Indonesia,2655-2140; 2301-5144,2655-2140,VEN_26eb6c00
Visualita: Jurnal Online Desain Komunikasi Visual,Universitas Komputer Indonesia,2655-2140; 2301-5144,2655-2140,VEN_6230f6fc
VISUALITA,Universitas Komputer Indonesia,2655-2140; 2301-5144,2655-2140,VEN_0884e46e
is The Best Accounting Information Systems and Information Technology Business Enterprise this is link for OJS us,Universitas Komputer Indonesia,2656-808X; 2252-9853,2656-808X,VEN_933f57a3
is The Best Accounting Information Systems and Information Technology Business Enterprise this is link for OJS usf@,Universitas Komputer Indonesia,2656-808X; 2252-9853,2656-808X,VEN_2cfab423
@is The Best : Accounting Information Systems and Information Technology Business Enterprise,Universitas Komputer Indonesia,2656-808X; 2252-9853,2656-808X,VEN_520b1ae1
Jurnal Riset Akuntansi,Universitas Komputer Indonesia,2655-5484; 2086-0447,2655-5484,VEN_e7ecdf9a
Global Political Studies Journal,Universitas Komputer Indonesia,2686-2905; 2301-749X,2686-2905,VEN_1cccf163
JURISMA : Jurnal Riset Bisnis &amp; Manajemen,Universitas Komputer Indonesia,2338-929X; 2086-0455,2338-929X,VEN_614dd657
Res Nullius Law Journal,Universitas Komputer Indonesia,2721-4206; 2656-7261,2721-4206,VEN_f519355c
Inaque : Journal of Industrial and Quality Engineering,Universitas Komputer Indonesia,2622-5816; 2303-2715,2622-5816,VEN_1ebefb8a
Jurnal Ilmu Politik dan Komunikasi,Universitas Komputer Indonesia,2581-1541; 2086-1109,2581-1541,VEN_fe161f6c
Apollo Project: Jurnal Ilmiah Program Studi Sastra Inggris,Universitas Komputer Indonesia,2301-5535; 2301-5543,2301-5535,VEN_d9d0e37d
"Telekontran : Jurnal Ilmiah Telekomunikasi, Kendali dan Elektronika Terapan",Universitas Komputer Indonesia,2654-7384; 2303-2901,2654-7384,VEN_7011255d
Janaru Saja Jurnal Program Studi Sastra Jepang,Universitas Komputer Indonesia,2301-5527; 2301-5519,2301-5527,VEN_3d6e1e24
Janaru Saja : Jurnal Program Studi Sastra Jepang,Universitas Komputer Indonesia,2301-5527; 2301-5519,2301-5527,VEN_8f6ecfed
Majalah Ilmiah UNIKOM,Universitas Komputer Indonesia,2527-7030; 1411-9374,2527-7030,VEN_9ec25b09
Jurnal Tata Kelola dan Kerangka Kerja Teknologi Informasi,Universitas Komputer Indonesia,2654-9506; 2460-1799,2654-9506,VEN_a3837e5c
Jurnal Wilayah dan Kota,Universitas Komputer Indonesia,2685-9378; 2355-7281,2685-9378,VEN_4d84389b
Komputa : Jurnal Ilmiah Komputer dan Informatika,Universitas Komputer Indonesia,2715-7849; 2089-9033,2715-7849,VEN_103edb33
"International Journal of Informatics, Information System and Computer Engineering (INJIISCOM)",Universitas Komputer Indonesia,2775-5584; 2810-0670,2775-5584,VEN_f12c96f0
International Journal of Research and Applied Technology,Universitas Komputer Indonesia,2807-7229,2807-7229,VEN_bb6c57ba
Indonesian Community Service and Empowerment (IComSE),Universitas Komputer Indonesia,2721-4648,2721-4648,VEN_1a2f7589
Indonesian Community Service and Empowerment Journal (IComSE),Universitas Komputer Indonesia,2721-4648; 2723-2549,2721-4648,VEN_cf145ffa
