"status","message-type","message-version","message__total-results","message__items__indexed__date-parts__001","message__items__indexed__date-parts__002","message__items__indexed__date-parts__003","message__items__indexed__date-time","message__items__indexed__timestamp","message__items__indexed__version","message__items__reference-count","message__items__publisher","message__items__issue","message__items__content-domain__crossmark-restriction","message__items__short-container-title__-","message__items__abstract","message__items__DOI","message__items__type","message__items__created__date-parts__001","message__items__created__date-parts__002","message__items__created__date-parts__003","message__items__created__date-time","message__items__created__timestamp","message__items__page","message__items__source","message__items__is-referenced-by-count","message__items__title__-","message__items__prefix","message__items__volume","message__items__author__given","message__items__author__family","message__items__author__sequence","message__items__member","message__items__published-online__date-parts__001","message__items__published-online__date-parts__002","message__items__published-online__date-parts__003","message__items__container-title__-","message__items__link__URL","message__items__link__content-type","message__items__link__content-version","message__items__link__intended-application","message__items__deposited__date-parts__001","message__items__deposited__date-parts__002","message__items__deposited__date-parts__003","message__items__deposited__date-time","message__items__deposited__timestamp","message__items__score","message__items__resource__primary__URL","message__items__issued__date-parts__001","message__items__issued__date-parts__002","message__items__issued__date-parts__003","message__items__references-count","message__items__journal-issue__issue","message__items__journal-issue__published-online__date-parts__001","message__items__journal-issue__published-online__date-parts__002","message__items__journal-issue__published-online__date-parts__003","message__items__URL","message__items__ISSN__001","message__items__ISSN__002","message__items__issn-type__value","message__items__issn-type__type","message__items__published__date-parts__001","message__items__published__date-parts__002","message__items__published__date-parts__003","message__items-per-page","message__query__start-index","message__query__search-terms"
"ok","work-list","1.0.0","3833","2022","4","3","2022-04-03T08:28:21Z","1648974501846","","0","Universitas Komputer Indonesia","2","False","MIU","<jats:p>Sistem Informasi Eksekutif merupakan salah satu bagian dari sistem informasi secara keseluruhan yang fungsi utamanya adalah untuk memonitoring setiap aktifitas yang ada dalam sebuah organisasi. Dalam Organisasi yang besar sep-erti Perguruan tinggi ada beberapa bagian yang sangat penting yang harus dikelola yaitu pengelolaan Data, Teknologi dan Aplikasi. Data-data yang yang dihasilkan oleh system internal, maupun data yang dihasilkan dari system ek-sternal harus tersimpan dalam satu data warehouse, sehingga proses datamin-ing dapat dilakukan untuk menghasilkan data Intelijen. Selain itu Teknologi Pen-dukung juga harus sudah menggunakan teknologi terkini sehingga akan lebih mempermudah dan mempercepat proses. Aplikasi yang baik adalah aplikasi yang dapat menghasilkan output sesuai dengan yang dibutuhkan, cepat dan akurat.</jats:p>","10.34010/miu.v15i2.562","journal-article","2019","5","9","2019-05-09T00:57:43Z","1557363463000","","Crossref","0","RANCANG BANGUN SISTEM INFORMASI EKSEKUTIF PERGURUAN TINGGI","10.34010","15","Taryana","Suryana","first","19924","2017","12","11","Majalah Ilmiah UNIKOM","https://ojs.unikom.ac.id/index.php/jurnal-unikom/article/download/562/405","application/pdf","vor","text-mining","2019","5","9","2019-05-09T00:57:56Z","1557363476000","34.590717","https://ojs.unikom.ac.id/index.php/jurnal-unikom/article/view/562","2017","12","11","0","2","2017","12","11","https://doi.org/10.34010/miu.v15i2.562","2527-7030","1411-9374","2527-7030","electronic","2017","12","11","5","0","null"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ojs.unikom.ac.id/index.php/jurnal-unikom/article/download/562/405","unspecified","vor","similarity-checking","","","","","","","","","","","","","","","","","","","1411-9374","print","","","","","",""
"","","","","2022","4","5","2022-04-05T17:29:39Z","1649179779814","","0","Universitas Komputer Indonesia","2","False","KOMPUTA","<jats:p>Pertolongan pertama adalah tindakan pertolongan pada kecelakaan atau kejadian yang tidak diinginkan dapat terjadi dimana saja dan kapan saja. Kejadian ini dapat berupa suatu insiden kecil atau suatu bencana yang melibatkan penderita dalam jumlah besar. KSR PMI merupakan organisasi yang bergerak dibidang kesehatan khususnya pertolongan pertama yang terdiri dari anggota yang terlatih dalam bidang pertolongan pertama trauma maupun medis. Masyarakat dalam kehidupan kesehariannya kadang mengalami kejadian yang tidak diharapkan, permasalahan yang sering ditemui masyarakat seperti sulitnya melaporkan kejadian, sulit mendapatkan pertolongan pertama serta sulitnya menemukan lokasi pelaku pertolongan pertama.Terdapat beberapa teknologi yang dapat membantu permasalahan yaitu Firebase Cloud Messaging untuk memberikan notifikasi pada pelaku pertolongan pertama, Geolocation untuk mendapatkan lokasi pelapor dan lokasi anggota terdekat, Geofencing untuk membatasi wilayah pelaporan kejadian, dan Infermedica difungsikan untuk melakukan diagnosis kondisi korban.Hasil pengujian menunjukkan bahwa dengan aplikasi (KOREMI) didapatkan presentase sebesar 81,25% masyarakat merasa terbantu dalam melaporkan kejadian, 81,25% membantu masyarakat mendapatkan pertolongan pertama, 77,5% memungkinkan masyarakat menemukan pelaku pertolongan pertama disekitarnya dan 80,62% membantu masyarakat dalam mendapatkan informasi kegiatan kepalangmerahan yang berhubungan dengan kemanusiaan.</jats:p>","10.34010/komputa.v9i2.5257","journal-article","2022","1","21","2022-01-21T04:09:07Z","1642738147000","59-68","Crossref","0","RANCANG BANGUN APLIKASI (KOREMI) UNTUK MEDIA PERTOLONGAN PERTAMA BERBASIS ANDROID","10.34010","9","Mazerianto","Simanullang","first","19924","2020","10","26","Komputa : Jurnal Ilmiah Komputer dan Informatika","https://ojs.unikom.ac.id/index.php/komputa/article/download/5257/2491","application/pdf","vor","text-mining","2022","1","21","2022-01-21T04:09:13Z","1642738153000","31.268248","https://ojs.unikom.ac.id/index.php/komputa/article/view/5257","2020","10","26","0","2","2022","1","5","https://doi.org/10.34010/komputa.v9i2.5257","2715-7849","2089-9033","2715-7849","electronic","2020","10","26","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Taryana","Suryana","first","","","","","","https://ojs.unikom.ac.id/index.php/komputa/article/download/5257/2491","unspecified","vor","similarity-checking","","","","","","","","","","","","","","","","","","","2089-9033","print","","","","","",""
"","","","","2022","3","31","2022-03-31T01:16:54Z","1648689414286","","0","Universitas Komputer Indonesia","1","False","MIU","<jats:p>Perusahaan besar yang memiliki sistem yang berbeda baik dari sisi Aplikasimaupun sistem operasi, yang mengharuskan setiap user untuk login ke setiapaplikasi yang berbeda secara berulang. Dengan adanya SSO ini, pengguna hanya cukup mengingat satu user dan satu password saja, namun berlaku secarauniversal diseluruh aplikasi perusahaan, sehingga dengan cara ini bisa lebihmemudahkan aplikasi yang akan diintegrasikan tanpa harus membuat semacam user validasi tersendiri,</jats:p>","10.34010/miu.v15i1.280","journal-article","2019","5","9","2019-05-09T05:01:16Z","1557378076000","","Crossref","0","SINGLE SIGN ON (SSO) MENGGUNAKAN STANDAR SAML PADA SISTEM INFORMASI UNIKOM","10.34010","15","Taryana","Suryana","first","19924","2017","7","26","Majalah Ilmiah UNIKOM","https://ojs.unikom.ac.id/index.php/jurnal-unikom/article/download/280/246","application/pdf","vor","text-mining","2019","5","9","2019-05-09T05:01:24Z","1557378084000","31.045353","https://ojs.unikom.ac.id/index.php/jurnal-unikom/article/view/280","2017","7","26","0","1","2017","7","26","https://doi.org/10.34010/miu.v15i1.280","2527-7030","1411-9374","2527-7030","electronic","2017","7","26","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ahmad","Amarullah","first","","","","","","https://ojs.unikom.ac.id/index.php/jurnal-unikom/article/download/280/246","unspecified","vor","similarity-checking","","","","","","","","","","","","","","","","","","","1411-9374","print","","","","","",""
"","","","","2022","4","5","2022-04-05T08:15:04Z","1649146504759","","0","Universitas Komputer Indonesia","1","False","KOMPUTA","<jats:p>Manusia yang sehat adalah seseorang yang tidak memiliki cacat, sehat secara rohani, dan tidak sakit. Hal tersebut bisa di capai apabila faktor lingkungan mendukung dan sadar betul terhadap kesehatan diri sendiri. Ketika manusia akan dinyatakan jatuh sakit umumnya memiliki gejala penyakit yang timbul. Gejala penyakit sering kali dianggap remeh oleh kebanyakan orang. Sehingga tanpa disadari dari gejala-gejala yang timbul bisa menimbulkan penyakit yang lebih serius. Padahal hal tersebut bisa dicegah lebih awal apabila sudah mengetahui gejalagejala dari suatu penyakit dan mendapatkan penangganan lebih cepat sehingga tidak menimbulkan suatu penyakit yang lebih serius. Pada aplikasi ini mampu mendeteksi suatu penyakit berdasarkan gejala-gejala yang dirasakan oleh pengguna. Aplikasi ini menggunakan teknologi APIMEDIC sebagai alat bantu untuk mendeteksi penyakit. Sistem akan menampilkan hasil diagnosis paling akurat yang berhasil didiagnosis oleh Apimedic. Kemudian bagi yang kurang mengetahui lokasi dokter terdekat, sistem akan memberikan rekomendasi dokter-dokter terdekat berdasarkan penyakit yang berhasil terdeteksi oleh sistem dengan radius 1500 meter.&#x0D;
Kata kunci : Apimedic, Gejala, penyakit, Deteksi, Dokter</jats:p>","10.34010/komputa.v9i1.3723","journal-article","2020","9","18","2020-09-18T04:04:09Z","1600401849000","42-50","Crossref","0","PEMBANGUNAN APLIKASI DETEKSI PENYAKIT BERDASARKAN DIAGNOSIS DAN REKOMENDASI DOKTER TERDEKAT DI KOTA BANDUNG","10.34010","9","Sugih","Purnama","first","19924","2020","3","23","Komputa : Jurnal Ilmiah Komputer dan Informatika","https://ojs.unikom.ac.id/index.php/komputa/article/download/3723/2016","application/pdf","vor","text-mining","2020","9","18","2020-09-18T04:04:09Z","1600401849000","30.864223","https://ojs.unikom.ac.id/index.php/komputa/article/view/3723","2020","3","23","0","1","2020","9","18","https://doi.org/10.34010/komputa.v9i1.3723","2715-7849","2089-9033","2715-7849","electronic","2020","3","23","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Taryana","Suryana","first","","","","","","https://ojs.unikom.ac.id/index.php/komputa/article/download/3723/2016","unspecified","vor","similarity-checking","","","","","","","","","","","","","","","","","","","2089-9033","print","","","","","",""
"","","","","2025","4","24","2025-04-24T04:08:03Z","1745467683652","3.40.4","0","Universitas Komputer Indonesia","1","False","KOMPUTA","<jats:p/>","10.34010/komputa.v8i1.3048","journal-article","2020","4","17","2020-04-17T03:27:46Z","1587094066000","44-51","Crossref","1","APLIKASI PEMBELAJARAN DASAR BAHASA INGGRIS UNTUK ANAK USIA 5-12 TAHUN BERBASIS PLATFOM ANDROID","10.34010","8","Taryana","Suryana","first","19924","2019","3","18","Komputa : Jurnal Ilmiah Komputer dan Informatika","https://ojs.unikom.ac.id/index.php/komputa/article/download/3048/1910","application/pdf","vor","text-mining","2025","4","23","2025-04-23T06:59:42Z","1745391582000","30.864223","https://ojs.unikom.ac.id/index.php/komputa/article/view/3048","2019","3","18","0","1","2020","8","31","https://doi.org/10.34010/komputa.v8i1.3048","2715-7849","2089-9033","2715-7849","electronic","2019","3","18","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sandy","Septian","additional","","","","","","https://ojs.unikom.ac.id/index.php/komputa/article/download/3048/1910","unspecified","vor","similarity-checking","","","","","","","","","","","","","","","","","","","2089-9033","print","","","","","",""
