author_id,openalex_id,name,orcid,institution,institution_id,faculty,department,total_works,total_citations,h_index,i10_index,two_year_mean_citedness,research_areas
"https://openalex.org/A5058672366","A5058672366","Rahmat Hidayat","https://orcid.org/0000-0003-1833-4765","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","444","1265","18","32","0.8926553672316384","Philosophy; Business; Humanities; Psychology"
"https://openalex.org/A5100675515","A5100675515","Wahyudi Wahyudi","https://orcid.org/0009-0001-0215-9563","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Desain","","291","505","10","10","0.2682926829268293","Art; Humanities; Public economics; Finance"
"https://openalex.org/A5061580149","A5061580149","Supriyati Supriyati","https://orcid.org/0000-0001-5901-9978","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","258","554","12","14","0.7714285714285715","Public economics; Nonprobability sampling; Nonprobability sampling; Nonprobability sampling"
"https://openalex.org/A5101547019","A5101547019","Juanda Juanda","https://orcid.org/0000-0003-2058-3314","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","173","389","10","11","1.013157894736842","Competence (human resources); Finance; Finance; Cohesion (chemistry)"
"https://openalex.org/A5025158507","A5025158507","Sugeng Sugeng","https://orcid.org/0000-0002-5253-0906","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","151","164","6","2","0.3333333333333333","Public economics; Nonprobability sampling; Nonprobability sampling; Competence (human resources)"
"https://openalex.org/A5027036190","A5027036190","Estiko Rijanto","https://orcid.org/0000-0003-0707-8209","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","116","402","10","11","1.4","Finance; Finance; Finance; Finance"
"https://openalex.org/A5100336011","A5100336011","Hidayat Hidayat","https://orcid.org/0000-0002-3721-3590","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","114","227","7","3","0.3137254901960784","Customer retention; Finance; Finance; Rank correlation"
"https://openalex.org/A5018510872","A5018510872","Umi Narimawati","https://orcid.org/0000-0001-8160-6263","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","106","345","7","5","1.2741935483870968","Nonprobability sampling; Nonprobability sampling; Competence (human resources); Competence (human resources)"
"https://openalex.org/A5004596561","A5004596561","Evi Yulianti","https://orcid.org/0000-0003-1951-4696","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","100","347","11","14","1.6808510638297873","Judicial opinion; Recall; Bridge (graph theory); Finance"
"https://openalex.org/A5039002590","A5039002590","Renaine Julian","https://orcid.org/0000-0001-6236-4756","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","88","19","3","0","0","Finance; Finance; Maturity (psychological); Criminal justice; Gene"
