author_nidn,author_name,openalex_id,faculty,total_publications,total_citations,h_index,i10_index,avg_citations_per_paper,publications_last_5_years,citations_last_5_years,most_cited_paper,most_cited_paper_citations,first_publication_year,latest_publication_year,open_access_percentage
"","Rahmat Hidayat","A5058672366","Fakultas Lainnya","0","0","18","32","0","0","0","","0","","","0"
"","Wahyudi Wahyudi","A5100675515","Fakultas Desain","0","0","10","10","0","0","0","","0","","","0"
"","Supriyati Supriyati","A5061580149","Fakultas Lainnya","0","0","12","14","0","0","0","","0","","","0"
"","Juanda Juanda","A5101547019","Fakultas Lainnya","0","0","10","11","0","0","0","","0","","","0"
"","Sugeng Sugeng","A5025158507","Fakultas Lainnya","0","0","6","2","0","0","0","","0","","","0"
"","Estiko Rijanto","A5027036190","Fakultas Lainnya","0","0","10","11","0","0","0","","0","","","0"
"","Hidayat Hidayat","A5100336011","Fakultas Lainnya","0","0","7","3","0","0","0","","0","","","0"
"","Umi Narimawati","A5018510872","Fakultas Lainnya","0","0","7","5","0","0","0","","0","","","0"
"","Evi Yulianti","A5004596561","Fakultas Lainnya","0","0","11","14","0","0","0","","0","","","0"
"","Renaine Julian","A5039002590","Fakultas Lainnya","0","0","3","0","0","0","0","","0","","","0"
"","Muhammad Raihan","A5089924426","Fakultas Lainnya","0","0","6","4","0","0","0","","0","","","0"
"","Henny Hendarti","A5085163408","Fakultas Lainnya","0","0","5","3","0","0","0","","0","","","0"
"","Rahma Wahdiniwaty","A5069443738","Fakultas Lainnya","0","0","7","3","0","0","0","","0","","","0"
"","Senny Luckyardi","A5077761860","Fakultas Lainnya","0","0","11","12","0","0","0","","0","","","0"
"","M. Yani Syafei","A5071169755","Fakultas Lainnya","0","0","3","0","0","0","0","","0","","","0"
"","Lilis Puspitawati","A5030175831","Fakultas Lainnya","0","0","11","12","0","0","0","","0","","","0"
"","I D Sumitra","A5089582996","Fakultas Lainnya","0","0","8","6","0","0","0","","0","","","0"
"","Poni Sukaesih Kurniati","A5076100970","Fakultas Lainnya","0","0","7","4","0","0","0","","0","","","0"
"","Soni Mulyawan Setiana","A5057405131","Fakultas Lainnya","0","0","4","2","0","0","0","","0","","","0"
"","Irma Erika Herawati","A5088290377","Fakultas Lainnya","0","0","6","3","0","0","0","","0","","","0"
"","Alfan Farizki Wicaksono","A5102809106","Fakultas Lainnya","0","0","13","15","0","0","0","","0","","","0"
"","Hanhan Maulana","A5068247021","Fakultas Lainnya","0","0","6","4","0","0","0","","0","","","0"
"","Andri Sahata Sitanggang","A5084916355","Fakultas Lainnya","0","0","4","0","0","0","0","","0","","","0"
"","Taryana Suryana","A5056478165","Fakultas Lainnya","0","0","4","2","0","0","0","","0","","","0"
"","Olih Solihin","A5071280718","Fakultas Lainnya","0","0","4","1","0","0","0","","0","","","0"
"","Mohammad Ali","A5102034535","Fakultas Lainnya","0","0","11","15","0","0","0","","0","","","0"
"","Nining Handayani","A5001284371","Fakultas Lainnya","0","0","7","4","0","0","0","","0","","","0"
"","Raeni Dwi Santy","A5019475414","Fakultas Lainnya","0","0","5","4","0","0","0","","0","","","0"
"","Dedi Sulistiyo Soegoto","A5035899204","Fakultas Lainnya","0","0","6","2","0","0","0","","0","","","0"
"","Diana Effendi","A5110564365","Fakultas Lainnya","0","0","4","0","0","0","0","","0","","","0"
"","Retno Purwani Sari","A5017784266","Fakultas Lainnya","0","0","4","2","0","0","0","","0","","","0"
"","Leonardi Paris Hasugian","A5025326561","Fakultas Lainnya","0","0","4","0","0","0","0","","0","","","0"
"","Agus Nursikuwagus","A5027601363","Fakultas Lainnya","0","0","6","4","0","0","0","","0","","","0"
"","Adeh Ratna Komala","A5075994533","Fakultas Lainnya","0","0","5","3","0","0","0","","0","","","0"
"","Amroni Amroni","A5038733631","Fakultas Lainnya","0","0","3","0","0","0","0","","0","","","0"
"","Asih Prihandini","A5066906814","Fakultas Lainnya","0","0","3","0","0","0","0","","0","","","0"
"","Deni Albar","A5080501549","Fakultas Lainnya","0","0","3","0","0","0","0","","0","","","0"
"","R. S. Dean","A5113625677","Fakultas Lainnya","0","0","7","4","0","0","0","","0","","","0"
